Kab_Kota,Tahun,Y-PDRB,X1-Jumlah_Penduduk,X2-Jumlah_Murid_SMA,X3-IPM,X4-Pengangguran_Terbuka
Buton ,2015,2559.67,97670,3938,62.78,2045
Muna ,2015,4439.85,211622,3550,65.99,6578
Konawe ,2015,5509.48,233610,8232,69.56,9957
Kolaka ,2015,15292.37,186628,5096,70.47,7702
Konawe Selatan ,2015,7307.02,295326,8476,66.32,3637
Bombana ,2015,3985.95,164809,4156,63.65,1339
Wakatobi ,2015,2575.41,94985,4195,67.22,1836
Kolaka Utara  ,2015,5280.59,140706,2978,66.9,1525
Buton Utara ,2015,1978.75,59779,2399,65.23,271
Konawe Utara ,2015,2435.08,58401,2541,66.44,1639
Kolaka Timur ,2015,2848.51,178023,3057,62.74,7457
Konawe Kepulauan ,2015,851.39,31688,1162,61.72,471
Muna Barat ,2015,1538.50,77084,3123,62.29,1
Buton Tengah ,2015,1483.53,89289,3853,62.13,1
Buton Selatan,2015,1855.62,77547,2946,62,1
Kendari,2015,13355.00,347496,11257,81.43,13645
Baubau,2015,5324.25,154877,6095,73.59,5041
Buton ,2016,2790.97,99352,4160,63.69,2045
Muna ,2016,4965.73,215442,10147,66.96,6578
Konawe ,2016,6104.41,238067,8130,69.84,9957
Kolaka ,2016,17171.82,246918,5426,71.12,7702
Konawe Selatan ,2016,8369.68,299928,8529,66.97,3637
Bombana ,2016,4529.89,170020,4537,64.02,1339
Wakatobi ,2016,2916.88,95209,4460,67.5,1836
Kolaka Utara  ,2016,5891.63,142614,3241,67.6,1525
Buton Utara ,2016,2162.85,61124,2510,65.95,271
Konawe Utara ,2016,2703.04,59673,2676,67.2,1639
Kolaka Timur ,2016,3142.68,125859,3458,63.6,7457
Konawe Kepulauan ,2016,941.28,32307,1028,62.56,471
Muna Barat ,2016,1742.86,78476,3303,65.57,1
Buton Tengah ,2016,1593.27,90159,3948,62.56,1
Buton Selatan,2016,1995.44,78218,3220,62.55,1
Kendari,2016,15127.49,359371,11510,81.66,13645
Baubau,2016,5996.01,158271,6270,73.99,5041
Buton ,2017,3285.41,100440,3927,64.47,1009
Muna ,2017,5921.62,218680,9400,67.61,4717
Konawe ,2017,7231.39,244324,8467,70.24,2261
Kolaka ,2017,21341.93,251520,5467,71.46,2754
Konawe Selatan ,2017,10200.30,304214,8446,67.23,2336
Bombana ,2017,5476.95,175497,4149,64.49,418
Wakatobi ,2017,3629.61,95386,4226,67.99,1021
Kolaka Utara  ,2017,7262.12,144681,3279,67.77,1943
Buton Utara ,2017,2645.49,62088,2821,66.4,434
Konawe Utara ,2017,3264.23,60884,2528,67.71,1202
Kolaka Timur ,2017,3797.54,128154,3137,64.55,2155
Konawe Kepulauan ,2017,1152.59,33212,1175,63.44,789
Muna Barat ,2017,2141.33,79649,3301,63.43,261
Buton Tengah ,2017,1975.78,91099,3799,62.82,554
Buton Selatan,2017,2463.18,79053,2744,63.2,770
Kendari,2017,18668.33,370728,10626,74.14,12036
Baubau,2017,7508.26,162780,5634,81.83,4988
Buton ,2018,3549851.44,101618,4492,65.08,698
Muna ,2018,6421150.55,221343,10047,68.47,5134
